OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,repeatID
1066,8245,FS-1434563,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,74.0,052,CQT3,BEAR 1,,,,,,2006,6/16/2006,167,1556.0,Human,Missing data/not specified/undetermined,,6/16/2006,167.0,1730.0,8.0,B,34.69277778,-118.78833333,USFS,CA,37,6037.0,Los Angeles County,446
1067,8246,FS-1434565,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,75.0,053,CQT4,BEAR 2,,,,,,2006,6/16/2006,167,1556.0,Human,Missing data/not specified/undetermined,,6/16/2006,167.0,1730.0,1.0,B,34.69277778,-118.78833333,USFS,CA,37,6037.0,Los Angeles County,446
1592,10484,FS-1437930,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,0507,Los Padres National Forest,45.0,045,B6US,CORRAL,,,,,,2006,7/23/2006,204,945.0,Natural,Natural,,7/23/2006,204.0,1345.0,0.1,A,34.8725,-119.1875,USFS,CA,29,6029.0,Kern County,254
1593,10485,FS-1437931,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,0507,Los Padres National Forest,49.0,049,B6US,MIGDIO 2,,,,,,2006,7/23/2006,204,945.0,Natural,Natural,,7/23/2006,204.0,1345.0,1.0,B,34.8725,-119.1875,USFS,CA,29,6029.0,Kern County,254
1728,11227,FS-1438912,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,0502,Cleveland National Forest,24.0,007,B6UM,SITE 10,,,,,,2006,5/29/2006,149,1300.0,Human,Recreation and ceremony,,5/29/2006,149.0,1320.0,0.01,A,33.6525,-117.45194444,USFS,CA,59,6059.0,Orange County,70
1729,11229,FS-1438914,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,0502,Cleveland National Forest,25.0,008,B6UM,SITE 25,,,,,,2006,5/29/2006,149,1320.0,Human,Recreation and ceremony,,5/29/2006,149.0,1330.0,0.01,A,33.6525,-117.45194444,USFS,CA,59,6059.0,Orange County,70
1733,11252,FS-1438960,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,0502,Cleveland National Forest,26.0,009,B6UM,SITE 26,,,,,,2006,5/29/2006,149,1400.0,Human,Recreation and ceremony,,5/29/2006,149.0,1406.0,0.1,A,33.6525,-117.45194444,USFS,CA,59,6059.0,Orange County,70
2720,16389,FS-1445561,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,113.0,32,B6UZ,LANGDON,,,,,,2006,8/7/2006,219,1500.0,Natural,Natural,,8/7/2006,219.0,2030.0,0.5,B,40.8675,-122.70138889,USFS,CA,105,6105.0,Trinity County,194
2725,16398,FS-1445571,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,116.0,23,B6UZ,SWEETBRIAR,,,,,,2006,8/7/2006,219,1000.0,Natural,Natural,,8/7/2006,219.0,1400.0,0.1,A,40.8675,-122.70138889,STATE OR PRIVATE,CA,89,6089.0,Shasta County,194
2774,16671,FS-1445886,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,183.0,18,C40G,NORTH 2,,,,,,2006,8/23/2006,235,1534.0,Human,Equipment and vehicle use,,8/23/2006,235.0,1619.0,0.5,B,40.885,-122.38333333,STATE OR PRIVATE,CA,89,6089.0,Shasta County,205
2784,16694,FS-1445913,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,172.0,18,B6UZ,NORTH,,,,,,2006,8/23/2006,235,1534.0,Human,Equipment and vehicle use,,8/23/2006,235.0,1619.0,0.75,B,40.885,-122.38333333,STATE OR PRIVATE,CA,89,6089.0,Shasta County,205
3013,18303,FS-1448007,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,0511,Plumas National Forest,6.0,64,DAP8,POE,,,,,,2007,3/15/2007,74,1300.0,Human,Railroad operations and maintenance,,3/15/2007,74.0,1600.0,0.1,A,39.75,-121.46972222,USFS,CA,7,6007.0,Butte County,330
3014,18304,FS-1448008,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,0511,Plumas National Forest,7.0,74,DA5A,INTAKE,,,,,,2007,3/15/2007,74,1300.0,Human,Railroad operations and maintenance,,3/15/2007,74.0,1330.0,0.01,A,39.75,-121.46972222,USFS,CA,7,6007.0,Butte County,330
5952,33035,FS-1473689,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,210.0,044,EG8W,WALDORF,,,,,,2008,8/18/2008,231,1536.0,Human,Missing data/not specified/undetermined,,8/18/2008,231.0,2000.0,1.0,B,40.76916667,-123.30194444,USFS,CA,105,6105.0,Trinity County,280
