OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,repeatID
435,3699,FS-1426485,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,6.0,003,BKX7,CABIN,,,,,,2005,2/28/2005,59,1136.0,Human,Equipment and vehicle use,,2/28/2005,59.0,1215.0,0.1,A,34.56027778,-118.405,USFS,CA,,,,194
437,3704,FS-1426494,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,7.0,004,BKY6,WATERHEATER,,,,,,2005,2/28/2005,59,1331.0,Human,Equipment and vehicle use,,2/28/2005,59.0,1335.0,0.1,A,34.56027778,-118.405,USFS,CA,,,,194
727,5054,FS-1428673,FED,FS-FIRESTAT,FS,USCATMU,Lake Tahoe Basin Management Unit,0519,Lake Tahoe Basin Management Unit,9.0,9,BXM3,KIVA 2,,,,,,2005,7/1/2005,182,2300.0,Human,Recreation and ceremony,,7/2/2005,183.0,1.0,0.1,A,38.94,-120.04666667,USFS,CA,61,6061.0,Placer County,107
728,5058,FS-1428680,FED,FS-FIRESTAT,FS,USCATMU,Lake Tahoe Basin Management Unit,0519,Lake Tahoe Basin Management Unit,10.0,10,BXM4,KIVA 3,,,,,,2005,7/1/2005,182,2300.0,Human,Smoking,,7/2/2005,183.0,55.0,0.1,A,38.94,-120.04666667,USFS,CA,61,6061.0,Placer County,107
925,6871,FS-1431858,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,121.0,29,BE0B,PACIFICO,,,,,,2005,8/6/2005,218,1800.0,Natural,Natural,,8/6/2005,218.0,1930.0,0.1,A,34.38472222,-118.01805556,USFS,CA,,,,561
926,6872,FS-1431859,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,123.0,30,BE0B,MOUNT,,,,,,2005,8/6/2005,218,1800.0,Natural,Natural,,8/6/2005,218.0,1930.0,0.1,A,34.38472222,-118.01805556,USFS,CA,,,,561
1258,8981,FS-1435660,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,100.0,21,B7RL,MAY,,,,,,2006,7/1/2006,182,1210.0,Human,Missing data/not specified/undetermined,,7/1/2006,182.0,1230.0,0.1,A,34.32944444,-118.41416667,USFS,CA,37,6037.0,Los Angeles County,130
1259,8982,FS-1435661,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,101.0,22,B7RL,MEMORIAL,,,,,,2006,7/1/2006,182,1433.0,Human,Missing data/not specified/undetermined,,7/1/2006,182.0,1600.0,0.1,A,34.32944444,-118.41416667,USFS,CA,37,6037.0,Los Angeles County,130
1269,9084,FS-1435847,FED,FS-FIRESTAT,FS,USCALNF,Lassen National Forest,0506,Lassen National Forest,29.0,009,B6UR,INDIAN,,,,,,2006,6/29/2006,180,1300.0,Natural,Natural,,6/29/2006,180.0,1600.0,0.1,A,40.19333333,-121.31888889,USFS,CA,63,6063.0,Plumas County,349
1283,9153,FS-1435953,FED,FS-FIRESTAT,FS,USCALNF,Lassen National Forest,0506,Lassen National Forest,28.0,008,B6UR,BUTT,,,,,,2006,6/29/2006,180,1200.0,Natural,Natural,,6/29/2006,180.0,1405.0,0.1,A,40.19333333,-121.31888889,USFS,CA,63,6063.0,Plumas County,349
