feature,year,relative_importance
dead_fuel_moisture_1000hr,2001,5.293301851647213
dead_fuel_moisture_100hr,2001,1.222333243037848
max_air_temperature,2001,14.924484889814309
max_relative_humidity,2001,1.1651705017297163
min_air_temperature,2001,1.14271775915889
min_relative_humidity,2001,1.5979691552718405
precipitation_amount,2001,1.6478300324110393
specific_humidity,2001,1.062076251874359
surface_downwelling_shortwave_flux_in_air,2001,1.5640091201539532
wind_speed,2001,1.0810009316524434
SWE,2001,3.232546733466547
population_density,2001,12.254674903047109
LAI,2001,2.265124921903907
slope_max,2001,2.449190611180601
road_density_km_km2,2001,3.939160683944667
line_density_km_per_cell,2001,2.605251032654638
wind_direction_category_N,2001,1.774490698845392
wind_direction_category_NE,2001,1.0069103886332578
wind_direction_category_E,2001,0.468356277539867
wind_direction_category_SE,2001,1.4857827218725865
wind_direction_category_S,2001,1.0593195431932054
wind_direction_category_SW,2001,2.1458263299127442
wind_direction_category_W,2001,0.8843752063133676
wind_direction_category_NW,2001,1.5657330353747727
veg_Barren ,2001,0.9587601746927933
veg_Native Chapparal ,2001,2.9940126406328442
veg_Native Coastal Sage Scrub ,2001,2.1450607375498887
veg_Native Conifer Alpine ,2001,1.2420856700432419
veg_Native Conifer Forest ,2001,1.5654177236753766
veg_Native Desert ,2001,2.6574124320190804
veg_Native Grassland ,2001,3.188702706485174
veg_Native Inland Scrub ,2001,6.732108459927337
veg_Native Oak Woodland ,2001,1.8765809639840785
veg_Native Wetland ,2001,1.5855449524358316
veg_Non-native forest ,2001,2.2670440163630468
veg_Non-native grassland ,2001,3.3483985033220995
veg_Non-native shrub ,2001,1.6012341942349353
dead_fuel_moisture_1000hr,2002,4.783703536223734
dead_fuel_moisture_100hr,2002,1.5106206782849154
max_air_temperature,2002,15.119265248525313
max_relative_humidity,2002,1.3023330249312428
min_air_temperature,2002,1.180251630481124
min_relative_humidity,2002,1.7129862432184517
precipitation_amount,2002,1.530522848738091
specific_humidity,2002,1.2244695519094166
surface_downwelling_shortwave_flux_in_air,2002,1.8142525411837578
wind_speed,2002,1.2091968208196413
SWE,2002,3.540713354634575
population_density,2002,12.528685774003526
LAI,2002,1.9202018934004148
slope_max,2002,2.619502644459896
road_density_km_km2,2002,3.7645304719068617
line_density_km_per_cell,2002,2.502797173582332
wind_direction_category_N,2002,2.11499700669664
wind_direction_category_NE,2002,1.2841553685113696
wind_direction_category_E,2002,0.4464120286750965
wind_direction_category_SE,2002,1.5904379279034908
wind_direction_category_S,2002,1.3338881850693078
wind_direction_category_SW,2002,1.7373633419980503
wind_direction_category_W,2002,0.8733004315729301
wind_direction_category_NW,2002,0.9173010948701056
veg_Barren ,2002,1.8707617493214799
veg_Native Chapparal ,2002,2.9659084355067544
veg_Native Coastal Sage Scrub ,2002,2.9919455337017373
veg_Native Conifer Alpine ,2002,1.991651096276594
veg_Native Conifer Forest ,2002,1.2429180077015334
