feature,year,relative_importance
dead_fuel_moisture_1000hr,2001,3.110696649190692
dead_fuel_moisture_100hr,2001,1.2876749855316278
max_air_temperature,2001,22.792458829682563
max_relative_humidity,2001,1.4780663500854445
min_air_temperature,2001,1.4003656207315505
min_relative_humidity,2001,1.6575953008092779
precipitation_amount,2001,1.8801593262000806
specific_humidity,2001,1.460565135875887
surface_downwelling_shortwave_flux_in_air,2001,1.5233701810602944
wind_speed,2001,1.297005805189386
SWE,2001,4.341144978428574
LAI,2001,2.4481747260263456
slope_max,2001,3.3307075723807436
road_density_km_km2,2001,9.587392153200424
line_density_km_per_cell,2001,3.722858460303389
wind_direction_category_N,2001,2.1714811271173993
wind_direction_category_NE,2001,1.2798601485716474
wind_direction_category_E,2001,1.0011451559151765
wind_direction_category_SE,2001,1.5600300972530576
wind_direction_category_S,2001,1.8040260890612578
wind_direction_category_SW,2001,2.6967202521204703
wind_direction_category_W,2001,1.3484923644320221
wind_direction_category_NW,2001,1.3578349553084812
veg_group_Barren,2001,2.002722090150354
veg_group_Chaparral,2001,2.8073000824010355
veg_group_Conifer Alpine,2001,2.7707390110518304
veg_group_Conifer Forest,2001,3.414542692870312
veg_group_Desert,2001,4.521382539821428
veg_group_Grassland,2001,3.3206905157178785
veg_group_Oak Woodland,2001,2.2548734494226506
veg_group_Shrub,2001,3.25703376859599
veg_group_Wetland,2001,1.1128895854927292
dead_fuel_moisture_1000hr,2002,3.149966842779146
dead_fuel_moisture_100hr,2002,1.429347941010564
max_air_temperature,2002,20.257553700484067
max_relative_humidity,2002,1.549137362971268
min_air_temperature,2002,1.400059179008627
min_relative_humidity,2002,1.57899213351841
precipitation_amount,2002,2.204374086096758
specific_humidity,2002,1.518386800291251
surface_downwelling_shortwave_flux_in_air,2002,1.6894722601095868
wind_speed,2002,1.3692803370684605
SWE,2002,4.888753899167038
LAI,2002,2.225129877688178
slope_max,2002,3.71366292345361
road_density_km_km2,2002,9.36843864807102
line_density_km_per_cell,2002,3.706572110642267
wind_direction_category_N,2002,2.977110119121515
wind_direction_category_NE,2002,1.7378104905598601
wind_direction_category_E,2002,1.243375990776897
wind_direction_category_SE,2002,2.711322835843361
wind_direction_category_S,2002,1.6596405193790933
wind_direction_category_SW,2002,2.5784721211051695
wind_direction_category_W,2002,1.6191510536469207
wind_direction_category_NW,2002,1.0744744687917727
veg_group_Barren,2002,1.6663811435078681
veg_group_Chaparral,2002,2.040804305339554
veg_group_Conifer Alpine,2002,2.586432986842545
veg_group_Conifer Forest,2002,2.4500417764684084
veg_group_Desert,2002,2.8001386784437083
veg_group_Grassland,2002,5.009447410768086
veg_group_Oak Woodland,2002,2.677052436627628
veg_group_Shrub,2002,3.7044662371140187
veg_group_Wetland,2002,1.4147493233033401
dead_fuel_moisture_1000hr,2003,2.7154883887479153
dead_fuel_moisture_100hr,2003,1.753628748095852
max_air_temperature,2003,20.885264888293587
max_relative_humidity,2003,1.6580672370111438
min_air_temperature,2003,1.463352349590951
min_relative_humidity,2003,1.5878717260422621
precipitation_amount,2003,1.7805390431058519
specific_humidity,2003,1.4420318590646048
surface_downwelling_shortwave_flux_in_air,2003,1.8728337154995975
wind_speed,2003,1.4924398024386838
SWE,2003,4.430314237255998
LAI,2003,2.111960172107514
slope_max,2003,3.9931086435392067
road_density_km_km2,2003,9.727726343962896
line_density_km_per_cell,2003,3.42214373334754
wind_direction_category_N,2003,2.4297883677313825
wind_direction_category_NE,2003,1.7477435370480714
wind_direction_category_E,2003,1.0506550102815544
wind_direction_category_SE,2003,1.7299075392881365
wind_direction_category_S,2003,1.597728661154553
wind_direction_category_SW,2003,3.041150191683466
wind_direction_category_W,2003,1.178418128879572
wind_direction_category_NW,2003,1.4205863651040802
veg_group_Barren,2003,1.501836922379836
veg_group_Chaparral,2003,2.586312413986585
veg_group_Conifer Alpine,2003,2.659971877665345
veg_group_Conifer Forest,2003,2.4962043319887224
veg_group_Desert,2003,4.600769554815916
veg_group_Grassland,2003,4.69766326046854
veg_group_Oak Woodland,2003,1.7023360836601262
veg_group_Shrub,2003,3.2353089107917885
veg_group_Wetland,2003,1.9868479549687206
dead_fuel_moisture_1000hr,2004,2.842055642335182
dead_fuel_moisture_100hr,2004,1.5602924393341195
max_air_temperature,2004,21.80040813597451
max_relative_humidity,2004,1.364520644836337
min_air_temperature,2004,1.592362663941817
min_relative_humidity,2004,1.6797841559775166
precipitation_amount,2004,1.8763901799439426
specific_humidity,2004,1.330857706328326
surface_downwelling_shortwave_flux_in_air,2004,1.8003414734482297
wind_speed,2004,1.511061956861983
SWE,2004,4.911470889753562
LAI,2004,2.106969447171668
slope_max,2004,3.7005316229617975
road_density_km_km2,2004,9.536232940899245
line_density_km_per_cell,2004,3.6484149012764866
wind_direction_category_N,2004,3.0968393696940257
wind_direction_category_NE,2004,1.7409744264832252
wind_direction_category_E,2004,1.0035122155012102
wind_direction_category_SE,2004,1.581333703996282
wind_direction_category_S,2004,1.7298089703618478
wind_direction_category_SW,2004,2.7408520004434886
wind_direction_category_W,2004,1.1727140470124127
wind_direction_category_NW,2004,1.4156386350330024
veg_group_Barren,2004,1.578457460715177
veg_group_Chaparral,2004,2.907684279023304
veg_group_Conifer Alpine,2004,2.1505963480006955
veg_group_Conifer Forest,2004,2.395772261204404
veg_group_Desert,2004,2.8231795310279555
veg_group_Grassland,2004,4.464370772035262
veg_group_Oak Woodland,2004,1.9872042211456167
veg_group_Shrub,2004,3.8405911762433176
veg_group_Wetland,2004,2.108775781034048
dead_fuel_moisture_1000hr,2005,2.6332176122960296
dead_fuel_moisture_100hr,2005,1.695501282977642
max_air_temperature,2005,21.18176876311181
max_relative_humidity,2005,1.307902811469663
min_air_temperature,2005,1.6987717813779428
min_relative_humidity,2005,1.6231859797891461
precipitation_amount,2005,1.6509868082867498
specific_humidity,2005,1.2405690898824455
surface_downwelling_shortwave_flux_in_air,2005,1.7945512137504582
wind_speed,2005,1.3670325510845545
SWE,2005,5.960521628624174
LAI,2005,2.078714873348307
slope_max,2005,3.413053249917262
road_density_km_km2,2005,8.94913407077539
line_density_km_per_cell,2005,3.549224636347874
wind_direction_category_N,2005,2.43752483086946
wind_direction_category_NE,2005,1.7899617902971023
wind_direction_category_E,2005,1.1141391464707573
wind_direction_category_SE,2005,1.9429653083101397
wind_direction_category_S,2005,1.8362079616300804
wind_direction_category_SW,2005,2.3733191570732557
wind_direction_category_W,2005,1.0987304316530235
wind_direction_category_NW,2005,1.1582406819836661
veg_group_Barren,2005,1.736188863947249
veg_group_Chaparral,2005,2.5061841810678165
veg_group_Conifer Alpine,2005,3.1285582669611043
veg_group_Conifer Forest,2005,2.4718463779044613
veg_group_Desert,2005,3.427068378803779
veg_group_Grassland,2005,5.053780597734136
veg_group_Oak Woodland,2005,2.0590117754273956
veg_group_Shrub,2005,3.8127911109653385
veg_group_Wetland,2005,1.9093447858617878
dead_fuel_moisture_1000hr,2006,2.8691807573456742
dead_fuel_moisture_100hr,2006,1.6290700515276306
max_air_temperature,2006,20.46481225547578
max_relative_humidity,2006,1.406871745564207
min_air_temperature,2006,2.027198868250517
min_relative_humidity,2006,1.559294036004342
precipitation_amount,2006,1.83984191429298
specific_humidity,2006,1.393667269458732
surface_downwelling_shortwave_flux_in_air,2006,1.8679198864435511
wind_speed,2006,1.3853952039629083
SWE,2006,5.316064837040808
LAI,2006,2.3030339768719936
slope_max,2006,3.438118628684947
road_density_km_km2,2006,9.481542750192125
line_density_km_per_cell,2006,3.6522753665305108
wind_direction_category_N,2006,1.7930330917674455
wind_direction_category_NE,2006,1.5993167788549325
wind_direction_category_E,2006,1.3715946108550228
wind_direction_category_SE,2006,1.7249302234237105
wind_direction_category_S,2006,2.200110482444641
wind_direction_category_SW,2006,2.01769419357662
wind_direction_category_W,2006,1.3031167020130823
wind_direction_category_NW,2006,1.66014816821863
veg_group_Barren,2006,2.0199679438889455
veg_group_Chaparral,2006,2.1984958344049987
veg_group_Conifer Alpine,2006,3.0297440285524755
veg_group_Conifer Forest,2006,2.447696428180959
veg_group_Desert,2006,3.2217199023300154
veg_group_Grassland,2006,4.53113593887384
veg_group_Oak Woodland,2006,3.1693541998485353
veg_group_Shrub,2006,4.1563965497383135
veg_group_Wetland,2006,0.9212573753811238
dead_fuel_moisture_1000hr,2007,2.9236124808210016
dead_fuel_moisture_100hr,2007,1.6345611398279765
max_air_temperature,2007,21.695502544173515
max_relative_humidity,2007,1.416232166731972
min_air_temperature,2007,2.100673931957605
min_relative_humidity,2007,1.4660961872214537
precipitation_amount,2007,1.7194440003737979
specific_humidity,2007,1.3719899133894864
surface_downwelling_shortwave_flux_in_air,2007,1.7677929301073947
wind_speed,2007,1.4081204465656796
SWE,2007,4.4664433201936
LAI,2007,2.4692660366415655
slope_max,2007,3.710182033035832
road_density_km_km2,2007,9.879649282262127
line_density_km_per_cell,2007,3.6983734840538207
wind_direction_category_N,2007,1.4508512948319148
wind_direction_category_NE,2007,1.3043142932127747
wind_direction_category_E,2007,2.0126587965741285
wind_direction_category_SE,2007,0.8116097832278487
wind_direction_category_S,2007,2.0872230441303166
wind_direction_category_SW,2007,2.5634666638721844
wind_direction_category_W,2007,1.4586421765859956
wind_direction_category_NW,2007,1.158457483770241
veg_group_Barren,2007,1.4277817045776457
veg_group_Chaparral,2007,2.318854556448308
veg_group_Conifer Alpine,2007,2.413802086656924
veg_group_Conifer Forest,2007,2.060344488257439
veg_group_Desert,2007,4.5198889920102125
veg_group_Grassland,2007,5.239473712553887
veg_group_Oak Woodland,2007,1.454010382988913
veg_group_Shrub,2007,4.488260332223974
veg_group_Wetland,2007,1.5024203107204661
dead_fuel_moisture_1000hr,2008,2.7720505159055855
dead_fuel_moisture_100hr,2008,1.5428014448518854
max_air_temperature,2008,18.113140905028335
max_relative_humidity,2008,1.1999427507061944
min_air_temperature,2008,1.8207716587170046
min_relative_humidity,2008,1.4383216826370933
precipitation_amount,2008,1.4789529684256952
specific_humidity,2008,1.332587100720765
