feature,year,relative_importance
dead_fuel_moisture_1000hr,2001,4.650925487260153
dead_fuel_moisture_100hr,2001,1.7270286658322933
max_air_temperature,2001,29.209356553190624
max_relative_humidity,2001,2.064849370232279
min_air_temperature,2001,1.9869650668285948
min_relative_humidity,2001,2.176018819479299
precipitation_amount,2001,2.7305403520032474
specific_humidity,2001,1.9651624011690298
surface_downwelling_shortwave_flux_in_air,2001,2.227141424944484
wind_speed,2001,1.710094830670416
SWE,2001,5.019480325550118
LAI,2001,3.1691610879045418
slope_max,2001,4.677824897841777
road_density_km_km2,2001,12.34461274245355
line_density_km_per_cell,2001,4.828887863633562
wind_direction_category_N,2001,2.6722534758005514
wind_direction_category_NE,2001,1.8713713694001093
wind_direction_category_E,2001,1.3802086697251543
wind_direction_category_SE,2001,2.327123328585093
wind_direction_category_S,2001,2.6330512767242746
wind_direction_category_SW,2001,5.124178198654546
wind_direction_category_W,2001,2.025688255427868
wind_direction_category_NW,2001,1.4780755366884337
dead_fuel_moisture_1000hr,2002,3.883926248456522
dead_fuel_moisture_100hr,2002,1.9695990633640865
max_air_temperature,2002,26.05424203063108
max_relative_humidity,2002,2.1214630483157375
min_air_temperature,2002,2.0089259725499002
min_relative_humidity,2002,2.0341144643132303
precipitation_amount,2002,2.6201754444646266
specific_humidity,2002,1.7469248183716615
surface_downwelling_shortwave_flux_in_air,2002,2.2049490528094555
wind_speed,2002,1.873952000533544
SWE,2002,7.046149143268342
LAI,2002,3.014340341452074
slope_max,2002,4.629064063502691
road_density_km_km2,2002,12.21637866146905
line_density_km_per_cell,2002,4.667452154424353
wind_direction_category_N,2002,3.526119901580967
wind_direction_category_NE,2002,2.343077811881534
wind_direction_category_E,2002,1.9156617241971308
wind_direction_category_SE,2002,2.940461207432801
wind_direction_category_S,2002,2.5820399991139293
wind_direction_category_SW,2002,4.774229318665039
wind_direction_category_W,2002,1.4576939727969316
wind_direction_category_NW,2002,2.369059556405314
dead_fuel_moisture_1000hr,2003,3.3213057585906345
dead_fuel_moisture_100hr,2003,2.1718001437320424
max_air_temperature,2003,27.77457997987872
max_relative_humidity,2003,1.9973575429315713
min_air_temperature,2003,2.0568205447665613
min_relative_humidity,2003,2.2650164882863653
precipitation_amount,2003,2.4750178156311073
specific_humidity,2003,1.7698809218455076
surface_downwelling_shortwave_flux_in_air,2003,2.4302077155832955
wind_speed,2003,1.9650073302227484
SWE,2003,6.1909661336989315
LAI,2003,2.819842644482032
slope_max,2003,5.1112110517250935
road_density_km_km2,2003,12.354859401904749
line_density_km_per_cell,2003,4.754456716358011
wind_direction_category_N,2003,3.4690034711858084
wind_direction_category_NE,2003,2.303050944308238
wind_direction_category_E,2003,1.6403571665700898
wind_direction_category_SE,2003,3.0794258744810494
wind_direction_category_S,2003,2.484141526354536
wind_direction_category_SW,2003,3.801662269206149
wind_direction_category_W,2003,2.2013076544989763
wind_direction_category_NW,2003,1.5627209037577807
dead_fuel_moisture_1000hr,2004,3.8302620460444885
dead_fuel_moisture_100hr,2004,2.239131544577059
max_air_temperature,2004,26.164613708977733
max_relative_humidity,2004,1.8939501826244816
min_air_temperature,2004,2.1482567833052495
min_relative_humidity,2004,2.2340739326461065
precipitation_amount,2004,2.3212021565680048
specific_humidity,2004,1.830113636292203
surface_downwelling_shortwave_flux_in_air,2004,2.5188022315822503
wind_speed,2004,2.0247949276657002
SWE,2004,7.605676246516493
LAI,2004,2.8490540193636202
slope_max,2004,5.127882871713904
road_density_km_km2,2004,12.331733617550833
line_density_km_per_cell,2004,4.895329505670822
wind_direction_category_N,2004,3.3616158632936393
wind_direction_category_NE,2004,2.6884159525036417
wind_direction_category_E,2004,1.2444917046992354
wind_direction_category_SE,2004,2.247381327783037
wind_direction_category_S,2004,2.6610491979775825
wind_direction_category_SW,2004,3.8427935184467374
wind_direction_category_W,2004,1.846074492667332
wind_direction_category_NW,2004,2.0933005315298456
dead_fuel_moisture_1000hr,2005,3.5602899386323235
dead_fuel_moisture_100hr,2005,2.4155858395061833
max_air_temperature,2005,25.528696889688764
max_relative_humidity,2005,2.0002672737407563
min_air_temperature,2005,2.434837334939
