year,area,season,fire_num
2001,All,summer,1639
2001,All,winter,460
2001,All,all,3052
2001,North Coast,summer,262
2001,North Coast,winter,66
2001,North Coast,all,492
2001,Central Coast,summer,633
2001,Central Coast,winter,128
2001,Central Coast,all,1057
2001,North Interior,summer,68
2001,North Interior,winter,9
2001,North Interior,all,134
2001,Sierra Nevada,summer,365
2001,Sierra Nevada,winter,93
2001,Sierra Nevada,all,675
2001,South Coast,summer,311
2001,South Coast,winter,164
2001,South Coast,all,694
2002,All,summer,1484
2002,All,winter,458
2002,All,all,3068
2002,North Coast,summer,208
2002,North Coast,winter,68
2002,North Coast,all,416
2002,Central Coast,summer,591
2002,Central Coast,winter,128
2002,Central Coast,all,1039
2002,North Interior,summer,68
2002,North Interior,winter,16
2002,North Interior,all,134
2002,Sierra Nevada,summer,334
2002,Sierra Nevada,winter,98
2002,Sierra Nevada,all,685
2002,South Coast,summer,283
2002,South Coast,winter,148
2002,South Coast,all,794
2003,All,summer,1530
2003,All,winter,491
2003,All,all,2733
2003,North Coast,summer,229
2003,North Coast,winter,101
2003,North Coast,all,417
2003,Central Coast,summer,612
2003,Central Coast,winter,129
2003,Central Coast,all,948
2003,North Interior,summer,83
2003,North Interior,winter,26
2003,North Interior,all,162
2003,Sierra Nevada,summer,299
2003,Sierra Nevada,winter,133
2003,Sierra Nevada,all,588
2003,South Coast,summer,307
2003,South Coast,winter,102
2003,South Coast,all,618
2004,All,summer,1451
2004,All,winter,491
2004,All,all,3114
2004,North Coast,summer,232
2004,North Coast,winter,79
2004,North Coast,all,461
2004,Central Coast,summer,586
2004,Central Coast,winter,184
2004,Central Coast,all,1222
2004,North Interior,summer,73
2004,North Interior,winter,24
2004,North Interior,all,139
2004,Sierra Nevada,summer,305
2004,Sierra Nevada,winter,101
2004,Sierra Nevada,all,685
2004,South Coast,summer,255
2004,South Coast,winter,103
2004,South Coast,all,607
2005,All,summer,1537
2005,All,winter,276
2005,All,all,2609
2005,North Coast,summer,149
2005,North Coast,winter,57
2005,North Coast,all,319
2005,Central Coast,summer,670
2005,Central Coast,winter,86
2005,Central Coast,all,1025
2005,North Interior,summer,64
2005,North Interior,winter,12
2005,North Interior,all,109
2005,Sierra Nevada,summer,275
2005,Sierra Nevada,winter,60
2005,Sierra Nevada,all,484
2005,South Coast,summer,379
2005,South Coast,winter,61
2005,South Coast,all,672
2006,All,summer,1629
2006,All,winter,542
2006,All,all,3179
2006,North Coast,summer,156
2006,North Coast,winter,62
2006,North Coast,all,347
2006,Central Coast,summer,733
2006,Central Coast,winter,242
2006,Central Coast,all,1306
2006,North Interior,summer,54
2006,North Interior,winter,15
2006,North Interior,all,111
2006,Sierra Nevada,summer,299
2006,Sierra Nevada,winter,93
2006,Sierra Nevada,all,588
2006,South Coast,summer,387
2006,South Coast,winter,130
2006,South Coast,all,827
2007,All,summer,1761
2007,All,winter,619
2007,All,all,3924
2007,North Coast,summer,251
2007,North Coast,winter,81
2007,North Coast,all,539
2007,Central Coast,summer,718
2007,Central Coast,winter,197
2007,Central Coast,all,1481
2007,North Interior,summer,91
2007,North Interior,winter,30
2007,North Interior,all,206
2007,Sierra Nevada,summer,390
2007,Sierra Nevada,winter,112
2007,Sierra Nevada,all,805
2007,South Coast,summer,311
2007,South Coast,winter,199
2007,South Coast,all,893
2008,All,summer,1448
2008,All,winter,715
2008,All,all,3492
2008,North Coast,summer,226
2008,North Coast,winter,85
2008,North Coast,all,497
2008,Central Coast,summer,565
2008,Central Coast,winter,233
2008,Central Coast,all,1288
2008,North Interior,summer,98
2008,North Interior,winter,38
2008,North Interior,all,203
2008,Sierra Nevada,summer,297
2008,Sierra Nevada,winter,153
2008,Sierra Nevada,all,759
2008,South Coast,summer,262
2008,South Coast,winter,206
2008,South Coast,all,745
2009,All,summer,1260
2009,All,winter,461
2009,All,all,2665
2009,North Coast,summer,192
2009,North Coast,winter,54
2009,North Coast,all,376
2009,Central Coast,summer,426
2009,Central Coast,winter,142
2009,Central Coast,all,869
2009,North Interior,summer,73
2009,North Interior,winter,18
2009,North Interior,all,140
2009,Sierra Nevada,summer,280
