feature,mean_abs_shap,corr,year,area,season
veg_group_Grassland,0.01664885,-0.3233080137519809,2001,All,summer
veg_group_Chaparral,0.019004492,0.7585377598713439,2001,All,summer
veg_group_Conifer Forest,0.020109342,0.7045735249872694,2001,All,summer
wind_speed,0.03738101,0.14738918409791632,2001,All,summer
specific_humidity,0.038829245,0.3023870452717635,2001,All,summer
max_relative_humidity,0.045059733,-0.2982958675315418,2001,All,summer
min_relative_humidity,0.07628666,-0.6533784786327721,2001,All,summer
min_air_temperature,0.096160166,-0.5462438702900128,2001,All,summer
line_density_km_per_cell,0.12030085,0.8009170548192215,2001,All,summer
precipitation_amount,0.12114897,-0.3416863003953714,2001,All,summer
dead_fuel_moisture_1000hr,0.1296664,-0.6898912601710145,2001,All,summer
slope_max,0.17059761,0.8917841207149966,2001,All,summer
dead_fuel_moisture_100hr,0.175033,-0.8807634272738053,2001,All,summer
LAI,0.18196008,0.8326445798309594,2001,All,summer
surface_downwelling_shortwave_flux_in_air,0.2784854,0.5566720837731597,2001,All,summer
wind_direction_category_E,0.40047243,-0.8810852562527521,2001,All,summer
road_density_km_km2,0.4441187,0.5024743464708288,2001,All,summer
max_air_temperature,0.47984672,0.7229138872671053,2001,All,summer
wind_direction_category_SE,0.60598415,-0.984330538724706,2001,All,summer
wind_direction_category_NE,0.6834974,-0.9370797554762983,2001,All,summer
wind_direction_category_N,1.4031767,-0.9884245319899735,2001,All,summer
wind_direction_category_W,1.7509146,-0.990072581225807,2001,All,summer
wind_direction_category_S,1.8870308,-0.9928258321820087,2001,All,summer
wind_direction_category_SW,2.0381334,-0.9900336085333509,2001,All,summer
wind_direction_category_NW,2.2004187,-0.9943696147825882,2001,All,summer
veg_group_Conifer Alpine,0.021534855,-0.8124744604114938,2001,All,winter
veg_group_Chaparral,0.028099133,0.7468102422608058,2001,All,winter
SWE,0.02872709,-0.8487101926872257,2001,All,winter
wind_speed,0.04222223,0.20410491087706817,2001,All,winter
max_relative_humidity,0.047047254,-0.523596378437073,2001,All,winter
specific_humidity,0.077690765,-0.6747660678988708,2001,All,winter
min_relative_humidity,0.08396102,-0.8134733494453258,2001,All,winter
dead_fuel_moisture_100hr,0.101078615,-0.8050280503752139,2001,All,winter
precipitation_amount,0.11963069,0.3516619228512347,2001,All,winter
line_density_km_per_cell,0.12282358,0.8103014349175063,2001,All,winter
slope_max,0.15834329,0.8594337814191122,2001,All,winter
LAI,0.18610148,0.8468819546534274,2001,All,winter
min_air_temperature,0.2027118,-0.8025605852539607,2001,All,winter
dead_fuel_moisture_1000hr,0.23727578,-0.880287650172612,2001,All,winter
max_air_temperature,0.3007122,0.9322678184690157,2001,All,winter
road_density_km_km2,0.38618878,0.4550064170710008,2001,All,winter
surface_downwelling_shortwave_flux_in_air,0.6004189,0.22458627318145696,2001,All,winter
wind_direction_category_SE,0.6123407,-0.9855018313033702,2001,All,winter
wind_direction_category_E,0.64935726,-0.9754743614527225,2001,All,winter
wind_direction_category_NE,1.050984,-0.9875243303076325,2001,All,winter
wind_direction_category_N,1.0731496,-0.9860832940104921,2001,All,winter
wind_direction_category_W,1.2246407,-0.9821999710807197,2001,All,winter
wind_direction_category_NW,1.3310646,-0.9880554389004944,2001,All,winter
wind_direction_category_S,1.3832864,-0.9882680757903803,2001,All,winter
wind_direction_category_SW,1.4603,-0.9795823623030523,2001,All,winter
veg_group_Conifer Alpine,0.016669681,-0.53293563139028,2001,All,all
veg_group_Conifer Forest,0.019632433,0.7372598887074451,2001,All,all
veg_group_Chaparral,0.021766117,0.7431920911688962,2001,All,all
wind_speed,0.036731627,0.16978739851634042,2001,All,all
max_relative_humidity,0.04219219,-0.36553736710652146,2001,All,all
specific_humidity,0.04430902,-0.24769384440863293,2001,All,all
min_relative_humidity,0.07494381,-0.747909358785777,2001,All,all
precipitation_amount,0.1123443,0.02772458890669783,2001,All,all
line_density_km_per_cell,0.1211492,0.8055647768434092,2001,All,all
min_air_temperature,0.1295966,-0.8261799175700111,2001,All,all
dead_fuel_moisture_100hr,0.14776398,-0.8358138466216872,2001,All,all
dead_fuel_moisture_1000hr,0.16342644,-0.7734718199570357,2001,All,all
slope_max,0.16530176,0.8891511964112975,2001,All,all
LAI,0.18711378,0.8368301949845074,2001,All,all
surface_downwelling_shortwave_flux_in_air,0.30951083,0.9047250346821434,2001,All,all
road_density_km_km2,0.4300882,0.4805452825777563,2001,All,all
max_air_temperature,0.44723162,0.9038034681821835,2001,All,all
wind_direction_category_E,0.45841563,-0.9747657002254884,2001,All,all
wind_direction_category_SE,0.6204955,-0.9865650934171913,2001,All,all
wind_direction_category_NE,0.79767686,-0.9841534130549009,2001,All,all
wind_direction_category_N,1.322099,-0.989083201415407,2001,All,all
wind_direction_category_W,1.5648656,-0.9886663296520336,2001,All,all
wind_direction_category_S,1.6900502,-0.9904192974129591,2001,All,all
wind_direction_category_SW,1.8320562,-0.9877551664204051,2001,All,all
wind_direction_category_NW,1.9457554,-0.9930574936254309,2001,All,all
veg_group_Chaparral,0.014562095,0.7054836162083492,2001,North Coast,summer
veg_group_Conifer Forest,0.037821814,0.6979176632806318,2001,North Coast,summer
wind_speed,0.044415817,0.4081244182273184,2001,North Coast,summer
max_relative_humidity,0.045893047,0.029686807375935566,2001,North Coast,summer
veg_group_Conifer Alpine,0.0515039,-0.531668531590805,2001,North Coast,summer
specific_humidity,0.054216757,0.5485352566014949,2001,North Coast,summer
min_relative_humidity,0.059695624,-0.3212090842628579,2001,North Coast,summer
min_air_temperature,0.063902,-0.6770662440270345,2001,North Coast,summer
precipitation_amount,0.1049047,-0.4161246397476713,2001,North Coast,summer
