year,area,season,fire_num
2001,North Coast,summer,504
2001,North Coast,winter,95
2001,Central Coast,summer,1052
2001,Central Coast,winter,144
2001,North Interior,summer,133
2001,North Interior,winter,16
2001,Sierra Nevada,summer,624
2001,Sierra Nevada,winter,120
2001,South Coast,summer,594
2001,South Coast,winter,225
2002,North Coast,summer,436
2002,North Coast,winter,93
2002,Central Coast,summer,988
2002,Central Coast,winter,143
2002,North Interior,summer,118
2002,North Interior,winter,18
2002,Sierra Nevada,summer,580
2002,Sierra Nevada,winter,118
2002,South Coast,summer,533
2002,South Coast,winter,207
2003,North Coast,summer,413
2003,North Coast,winter,121
2003,Central Coast,summer,935
2003,Central Coast,winter,143
2003,North Interior,summer,150
2003,North Interior,winter,29
2003,Sierra Nevada,summer,464
2003,Sierra Nevada,winter,153
2003,South Coast,summer,560
2003,South Coast,winter,155
2004,North Coast,summer,447
2004,North Coast,winter,102
2004,Central Coast,summer,1022
2004,Central Coast,winter,206
2004,North Interior,summer,118
2004,North Interior,winter,26
2004,Sierra Nevada,summer,556
2004,Sierra Nevada,winter,117
2004,South Coast,summer,458
2004,South Coast,winter,140
2005,North Coast,summer,334
2005,North Coast,winter,68
2005,Central Coast,summer,1060
2005,Central Coast,winter,88
2005,North Interior,summer,102
2005,North Interior,winter,16
2005,Sierra Nevada,summer,444
2005,Sierra Nevada,winter,72
2005,South Coast,summer,682
2005,South Coast,winter,76
2006,North Coast,summer,380
2006,North Coast,winter,83
2006,Central Coast,summer,1229
2006,Central Coast,winter,266
2006,North Interior,summer,105
2006,North Interior,winter,17
2006,Sierra Nevada,summer,519
2006,Sierra Nevada,winter,108
2006,South Coast,summer,716
2006,South Coast,winter,205
2007,North Coast,summer,554
2007,North Coast,winter,128
2007,Central Coast,summer,1294
2007,Central Coast,winter,280
2007,North Interior,summer,190
2007,North Interior,winter,49
2007,Sierra Nevada,summer,676
2007,Sierra Nevada,winter,178
2007,South Coast,summer,602
2007,South Coast,winter,339
2008,North Coast,summer,468
2008,North Coast,winter,107
2008,Central Coast,summer,1060
2008,Central Coast,winter,260
2008,North Interior,summer,169
2008,North Interior,winter,48
2008,Sierra Nevada,summer,542
2008,Sierra Nevada,winter,178
2008,South Coast,summer,510
2008,South Coast,winter,282
2009,North Coast,summer,354
2009,North Coast,winter,75
2009,Central Coast,summer,728
2009,Central Coast,winter,172
2009,North Interior,summer,124
2009,North Interior,winter,24
2009,Sierra Nevada,summer,456
2009,Sierra Nevada,winter,107
2009,South Coast,summer,581
2009,South Coast,winter,217
2010,North Coast,summer,272
2010,North Coast,winter,67
2010,Central Coast,summer,696
2010,Central Coast,winter,114
2010,North Interior,summer,101
2010,North Interior,winter,15
2010,Sierra Nevada,summer,365
2010,Sierra Nevada,winter,116
2010,South Coast,summer,568
2010,South Coast,winter,166
2011,North Coast,summer,276
2011,North Coast,winter,48
2011,Central Coast,summer,712
2011,Central Coast,winter,116
2011,North Interior,summer,92
2011,North Interior,winter,15
2011,Sierra Nevada,summer,342
2011,Sierra Nevada,winter,63
2011,South Coast,summer,528
2011,South Coast,winter,120
2012,North Coast,summer,337
2012,North Coast,winter,88
2012,Central Coast,summer,641
2012,Central Coast,winter,213
2012,North Interior,summer,102
2012,North Interior,winter,27
2012,Sierra Nevada,summer,448
2012,Sierra Nevada,winter,220
2012,South Coast,summer,397
2012,South Coast,winter,186
2013,North Coast,summer,367
2013,North Coast,winter,58
2013,Central Coast,summer,695
2013,Central Coast,winter,97
2013,North Interior,summer,91
2013,North Interior,winter,21
2013,Sierra Nevada,summer,362
2013,Sierra Nevada,winter,95
2013,South Coast,summer,367
2013,South Coast,winter,138
2014,North Coast,summer,355
2014,North Coast,winter,149
2014,Central Coast,summer,532
2014,Central Coast,winter,326
2014,North Interior,summer,72
2014,North Interior,winter,49
2014,Sierra Nevada,summer,373
2014,Sierra Nevada,winter,222
2014,South Coast,summer,290
2014,South Coast,winter,153
2015,North Coast,summer,385
2015,North Coast,winter,53
2015,Central Coast,summer,582
2015,Central Coast,winter,74
2015,North Interior,summer,86
2015,North Interior,winter,7
2015,Sierra Nevada,summer,335
2015,Sierra Nevada,winter,92
2015,South Coast,summer,277
2015,South Coast,winter,110
2016,North Coast,summer,404
2016,North Coast,winter,88
2016,Central Coast,summer,691
2016,Central Coast,winter,112
2016,North Interior,summer,100
2016,North Interior,winter,19
2016,Sierra Nevada,summer,494
2016,Sierra Nevada,winter,69
2016,South Coast,summer,337
2016,South Coast,winter,99
2017,North Coast,summer,299
2017,North Coast,winter,28
2017,Central Coast,summer,763
2017,Central Coast,winter,105
2017,North Interior,summer,124
2017,North Interior,winter,16
2017,Sierra Nevada,summer,424
2017,Sierra Nevada,winter,75
2017,South Coast,summer,432
2017,South Coast,winter,126
2018,North Coast,summer,260
2018,North Coast,winter,74
2018,Central Coast,summer,672
2018,Central Coast,winter,188
2018,North Interior,summer,91
2018,North Interior,winter,35
2018,Sierra Nevada,summer,424
2018,Sierra Nevada,winter,137
2018,South Coast,summer,334
2018,South Coast,winter,223
2019,North Coast,summer,142
2019,North Coast,winter,95
2019,Central Coast,summer,311
2019,Central Coast,winter,183
2019,North Interior,summer,39
2019,North Interior,winter,22
2019,Sierra Nevada,summer,287
2019,Sierra Nevada,winter,115
2019,South Coast,summer,279
2019,South Coast,winter,119
2020,North Coast,summer,184
2020,North Coast,winter,56
2020,Central Coast,summer,415
2020,Central Coast,winter,85
2020,North Interior,summer,83
2020,North Interior,winter,14
2020,Sierra Nevada,summer,361
2020,Sierra Nevada,winter,106
2020,South Coast,summer,434
2020,South Coast,winter,132
