feature,mean_abs_shap,corr,year,area,season
precipitation_amount,0.038807005,-0.9017711389211645,2001,North Coast,summer
max_relative_humidity,0.044237066,0.5134677590822545,2001,North Coast,summer
dead_fuel_moisture_100hr,0.048416946,-0.1664921410514184,2001,North Coast,summer
min_air_temperature,0.048930004,-0.4720596848911446,2001,North Coast,summer
specific_humidity,0.050264306,-0.48292451917046714,2001,North Coast,summer
LAI,0.06740661,0.04034599779157368,2001,North Coast,summer
wind_speed,0.078036,0.7542159140683331,2001,North Coast,summer
min_relative_humidity,0.097216815,-0.8584089194149149,2001,North Coast,summer
surface_downwelling_shortwave_flux_in_air,0.13033691,0.7533063698719253,2001,North Coast,summer
line_density_km_per_cell,0.13979283,0.3739709459341121,2001,North Coast,summer
slope_max,0.21598311,0.5096475384993066,2001,North Coast,summer
dead_fuel_moisture_1000hr,0.23080748,-0.8379654585190099,2001,North Coast,summer
road_density_km_km2,0.30912787,0.5784960703076977,2001,North Coast,summer
max_air_temperature,0.42777246,0.9312593742847519,2001,North Coast,summer
population_density,0.9912186,0.6072934154393298,2001,North Coast,summer
min_air_temperature,0.08086028,-0.2269471151347968,2001,North Coast,winter
veg_Native Conifer Alpine ,0.08098974,0.7573347206267859,2001,North Coast,winter
dead_fuel_moisture_100hr,0.089183286,-0.14109257943402198,2001,North Coast,winter
precipitation_amount,0.09395639,-0.8958620567826779,2001,North Coast,winter
max_relative_humidity,0.10206665,0.3911794371902065,2001,North Coast,winter
surface_downwelling_shortwave_flux_in_air,0.10857395,-0.2132013125003993,2001,North Coast,winter
line_density_km_per_cell,0.10870592,0.18334337815038795,2001,North Coast,winter
wind_speed,0.12036398,0.8028938240015719,2001,North Coast,winter
min_relative_humidity,0.18199164,-0.8823549686631197,2001,North Coast,winter
slope_max,0.22884127,0.2687016411346172,2001,North Coast,winter
LAI,0.23297569,0.5040029996101327,2001,North Coast,winter
road_density_km_km2,0.28315598,0.44562897875973245,2001,North Coast,winter
dead_fuel_moisture_1000hr,0.31171352,-0.7936395114822801,2001,North Coast,winter
max_air_temperature,0.48227957,0.9361051396426844,2001,North Coast,winter
population_density,1.0165069,0.23891779612614383,2001,North Coast,winter
veg_Non-native forest ,0.028496463,-0.6954644296133418,2001,Central Coast,summer
max_relative_humidity,0.034616675,0.3922442901479021,2001,Central Coast,summer
specific_humidity,0.0425137,-0.3325410335365294,2001,Central Coast,summer
min_air_temperature,0.050311074,-0.254825946268465,2001,Central Coast,summer
wind_speed,0.052392196,0.7797043906723402,2001,Central Coast,summer
dead_fuel_moisture_100hr,0.06863959,-0.35968334581903016,2001,Central Coast,summer
min_relative_humidity,0.07234963,-0.7304704643981483,2001,Central Coast,summer
LAI,0.07932142,0.1675560515296159,2001,Central Coast,summer
slope_max,0.12776048,-0.26563621530535997,2001,Central Coast,summer
line_density_km_per_cell,0.16860408,0.7231530977792082,2001,Central Coast,summer
surface_downwelling_shortwave_flux_in_air,0.1794138,0.7656154264882312,2001,Central Coast,summer
dead_fuel_moisture_1000hr,0.27294883,-0.5297624788009833,2001,Central Coast,summer
road_density_km_km2,0.27912965,0.45227140473789984,2001,Central Coast,summer
max_air_temperature,0.6215052,0.884356385874988,2001,Central Coast,summer
population_density,0.8607983,0.11701348592219266,2001,Central Coast,summer
veg_Non-native forest ,0.052768927,-0.934873357471642,2001,Central Coast,winter
precipitation_amount,0.055008136,-0.8246309404253555,2001,Central Coast,winter
dead_fuel_moisture_100hr,0.065311976,0.010041670201410155,2001,Central Coast,winter
