year,area,fire_num
2001,All,3568
2001,North Coast,628
2001,Central Coast,1236
2001,North Interior,143
2001,Sierra Nevada,737
2001,South Coast,824
2002,All,3538
2002,North Coast,558
2002,Central Coast,1189
2002,North Interior,142
2002,Sierra Nevada,735
2002,South Coast,914
2003,All,3170
2003,North Coast,544
2003,Central Coast,1092
2003,North Interior,171
2003,Sierra Nevada,628
2003,South Coast,735
2004,All,3548
2004,North Coast,589
2004,Central Coast,1368
2004,North Interior,151
2004,Sierra Nevada,749
2004,South Coast,691
2005,All,3036
2005,North Coast,424
2005,Central Coast,1177
2005,North Interior,115
2005,Sierra Nevada,528
2005,South Coast,792
2006,All,3772
2006,North Coast,479
2006,Central Coast,1541
2006,North Interior,116
2006,Sierra Nevada,639
2006,South Coast,997
2007,All,4737
2007,North Coast,748
2007,Central Coast,1744
2007,North Interior,243
2007,Sierra Nevada,914
2007,South Coast,1088
2008,All,4096
2008,North Coast,642
2008,Central Coast,1527
2008,North Interior,216
2008,Sierra Nevada,832
2008,South Coast,879
2009,All,3077
2009,North Coast,498
2009,Central Coast,974
2009,North Interior,150
2009,Sierra Nevada,604
2009,South Coast,851
2010,All,2558
2010,North Coast,347
2010,Central Coast,830
2010,North Interior,107
2010,Sierra Nevada,493
2010,South Coast,781
2011,All,2437
2011,North Coast,342
2011,Central Coast,884
2011,North Interior,101
2011,Sierra Nevada,422
2011,South Coast,688
2012,All,2879
2012,North Coast,451
2012,Central Coast,950
2012,North Interior,125
2012,Sierra Nevada,689
2012,South Coast,664
2013,All,2654
2013,North Coast,488
2013,Central Coast,906
2013,North Interior,120
2013,Sierra Nevada,521
2013,South Coast,619
2014,All,2838
2014,North Coast,552
2014,Central Coast,969
2014,North Interior,128
2014,Sierra Nevada,650
2014,South Coast,539
2015,All,2378
2015,North Coast,491
2015,Central Coast,788
2015,North Interior,99
2015,Sierra Nevada,530
2015,South Coast,470
2016,All,2572
2016,North Coast,527
2016,Central Coast,859
2016,North Interior,123
2016,Sierra Nevada,578
2016,South Coast,485
2017,All,2515
2017,North Coast,329
2017,Central Coast,908
2017,North Interior,136
2017,Sierra Nevada,514
2017,South Coast,628
2018,All,2674
2018,North Coast,370
2018,Central Coast,956
2018,North Interior,128
2018,Sierra Nevada,599
2018,South Coast,621
2019,All,1665
2019,North Coast,255
2019,Central Coast,527
2019,North Interior,65
2019,Sierra Nevada,402
2019,South Coast,416
2020,All,2087
2020,North Coast,283
2020,Central Coast,597
2020,North Interior,108
2020,Sierra Nevada,515
2020,South Coast,584
