feature,mean_abs_shap,corr,year,area
wind_direction_category_W,0.011908377,0.40742207788026236,2001,All
wind_direction_category_N,0.012577154,0.020258351776289932,2001,All
wind_direction_category_NW,0.014225237,-0.519151184818118,2001,All
SWE,0.01877003,-0.772526696225031,2001,All
wind_direction_category_S,0.021322029,0.8200559733857314,2001,All
veg_group_Conifer Alpine,0.031363018,0.8664514255778251,2001,All
veg_group_Chaparral,0.035670947,0.5566340147457394,2001,All
veg_group_Shrub,0.037229385,0.5857026997344288,2001,All
min_air_temperature,0.045433957,0.180865568582297,2001,All
precipitation_amount,0.04713519,-0.6980745502919681,2001,All
wind_direction_category_SW,0.049416307,0.8541747525610263,2001,All
veg_group_Grassland,0.052067187,-0.8167739198685195,2001,All
dead_fuel_moisture_100hr,0.052510254,0.08129161897340942,2001,All
wind_speed,0.058181424,0.6386591240163189,2001,All
veg_group_Conifer Forest,0.061478462,-0.72491178667985,2001,All
max_relative_humidity,0.075971626,0.674891129428192,2001,All
min_relative_humidity,0.08878359,-0.6345438615758108,2001,All
specific_humidity,0.101615004,-0.7471696120357617,2001,All
surface_downwelling_shortwave_flux_in_air,0.12469034,0.600100786794839,2001,All
LAI,0.17438196,0.6768440197247197,2001,All
slope_max,0.18537064,-0.013418275705321881,2001,All
dead_fuel_moisture_1000hr,0.24771453,-0.7337001804745727,2001,All
line_density_km_per_cell,0.2773722,0.526460220007752,2001,All
road_density_km_km2,0.6361917,0.5972818045173311,2001,All
max_air_temperature,0.68849677,0.9514217605610688,2001,All
wind_direction_category_SE,0.008211895,-0.9278639743045342,2001,North Coast
SWE,0.01546676,,2001,North Coast
veg_group_Chaparral,0.019473711,-0.023052459688518583,2001,North Coast
wind_direction_category_SW,0.021004396,0.7389862966907867,2001,North Coast
wind_direction_category_NW,0.021177428,-0.7391360715846964,2001,North Coast
wind_direction_category_N,0.023100572,0.2761191826685927,2001,North Coast
wind_direction_category_S,0.023611886,0.8488569582906459,2001,North Coast
veg_group_Shrub,0.03329762,0.819154837262288,2001,North Coast
veg_group_Conifer Forest,0.043858614,-0.6825365514485991,2001,North Coast
veg_group_Grassland,0.04547343,-0.9271495370946278,2001,North Coast
min_air_temperature,0.04676439,-0.04544976763196091,2001,North Coast
dead_fuel_moisture_100hr,0.0528177,0.08915725834082591,2001,North Coast
precipitation_amount,0.06303854,-0.7361457461008569,2001,North Coast
veg_group_Conifer Alpine,0.063993126,0.8194690950391428,2001,North Coast
wind_speed,0.07716654,0.4953775309111512,2001,North Coast
specific_humidity,0.08853284,-0.7833701639870492,2001,North Coast
min_relative_humidity,0.1043985,-0.5920208749389606,2001,North Coast
max_relative_humidity,0.1063826,0.7603910380745977,2001,North Coast
surface_downwelling_shortwave_flux_in_air,0.11465246,0.48724672806532016,2001,North Coast
LAI,0.17149976,0.5729457452845166,2001,North Coast
dead_fuel_moisture_1000hr,0.24034831,-0.8196521227020349,2001,North Coast
slope_max,0.31719887,0.39079166415980604,2001,North Coast
line_density_km_per_cell,0.38053825,0.171700136589289,2001,North Coast
max_air_temperature,0.6292899,0.9398060256893602,2001,North Coast
road_density_km_km2,0.6776148,0.5274421416839943,2001,North Coast
wind_direction_category_N,0.010334261,-0.2143293032983124,2001,Central Coast
SWE,0.012946329,,2001,Central Coast
wind_direction_category_W,0.013738956,0.4202741559411181,2001,Central Coast
wind_direction_category_NW,0.014736288,-0.4158085476759157,2001,Central Coast
wind_direction_category_S,0.018473133,0.8673766119293211,2001,Central Coast
veg_group_Conifer Alpine,0.032855034,0.8786694576340928,2001,Central Coast
veg_group_Chaparral,0.033877175,0.5446818198418276,2001,Central Coast
veg_group_Grassland,0.03915669,-0.9128665187323517,2001,Central Coast
precipitation_amount,0.039332002,-0.8745603434844522,2001,Central Coast
min_air_temperature,0.04129597,0.2857306879683485,2001,Central Coast
wind_direction_category_SW,0.045344114,0.8651776117846609,2001,Central Coast
veg_group_Shrub,0.047602285,0.48525560312606325,2001,Central Coast
dead_fuel_moisture_100hr,0.04988042,0.13485226980333503,2001,Central Coast
wind_speed,0.050908897,0.6282340296680362,2001,Central Coast
max_relative_humidity,0.06513532,0.7167863539206515,2001,Central Coast
min_relative_humidity,0.07046248,-0.5624024909049923,2001,Central Coast
veg_group_Conifer Forest,0.07851181,-0.8066628710402051,2001,Central Coast
specific_humidity,0.08577968,-0.6604785218144287,2001,Central Coast
surface_downwelling_shortwave_flux_in_air,0.14979286,0.6037020779817628,2001,Central Coast
LAI,0.16863489,0.5959034324418174,2001,Central Coast
slope_max,0.17783423,-0.4651985489902814,2001,Central Coast
dead_fuel_moisture_1000hr,0.24133204,-0.7585379726455547,2001,Central Coast
line_density_km_per_cell,0.25543606,0.7618259848635667,2001,Central Coast
road_density_km_km2,0.5618835,0.5460856859591499,2001,Central Coast
max_air_temperature,0.782534,0.9441623062610455,2001,Central Coast
wind_direction_category_NW,0.012262442,-0.538504549873849,2001,North Interior
wind_direction_category_W,0.012698197,-0.008420259747177042,2001,North Interior
wind_direction_category_N,0.013166798,-0.06752202134714376,2001,North Interior
veg_group_Shrub,0.015011949,0.4464585855437398,2001,North Interior
veg_group_Conifer Alpine,0.01803817,0.7766099719796954,2001,North Interior
wind_direction_category_S,0.029316325,0.9020506313500135,2001,North Interior
veg_group_Chaparral,0.029379157,0.4937430261768196,2001,North Interior
wind_direction_category_SW,0.038004585,0.8858548107958694,2001,North Interior
SWE,0.038583815,-0.9324502419560322,2001,North Interior
max_relative_humidity,0.050840378,0.5177010756772149,2001,North Interior
wind_speed,0.05189376,0.7851877427783868,2001,North Interior
dead_fuel_moisture_100hr,0.0570681,-0.07055933447051725,2001,North Interior
precipitation_amount,0.058587294,-0.6560932960269785,2001,North Interior
veg_group_Conifer Forest,0.065227054,-0.6528915254689986,2001,North Interior
min_relative_humidity,0.06663717,-0.5703743467071353,2001,North Interior
min_air_temperature,0.069846265,0.29070334396861736,2001,North Interior
veg_group_Grassland,0.07567866,-0.9626632484717167,2001,North Interior
surface_downwelling_shortwave_flux_in_air,0.087711744,0.3953281870865244,2001,North Interior
specific_humidity,0.11599474,-0.8093977523316243,2001,North Interior
slope_max,0.12660441,0.1430742712777506,2001,North Interior
LAI,0.17006068,0.8279257653049362,2001,North Interior
line_density_km_per_cell,0.21126767,0.788358348370691,2001,North Interior
dead_fuel_moisture_1000hr,0.28190106,-0.879166996239859,2001,North Interior
max_air_temperature,0.56758523,0.973333935321599,2001,North Interior
road_density_km_km2,0.5705784,0.7861432817467888,2001,North Interior
wind_direction_category_NE,0.008388487,0.7187364412442825,2001,Sierra Nevada
wind_direction_category_N,0.012451554,-0.34933857523822587,2001,Sierra Nevada
wind_direction_category_NW,0.0132144205,-0.4421031158501553,2001,Sierra Nevada
veg_group_Shrub,0.017252149,0.42480360388388333,2001,Sierra Nevada
veg_group_Conifer Alpine,0.020518865,0.9204777327785616,2001,Sierra Nevada
SWE,0.027908793,-0.83016890962718,2001,Sierra Nevada
veg_group_Chaparral,0.028998416,0.4079921230025633,2001,Sierra Nevada
wind_direction_category_S,0.033131234,0.894003209443904,2001,Sierra Nevada
wind_direction_category_SW,0.04188344,0.8555521140037151,2001,Sierra Nevada
veg_group_Conifer Forest,0.045322254,-0.6271443757008369,2001,Sierra Nevada
min_air_temperature,0.05091127,0.06417071053520086,2001,Sierra Nevada
precipitation_amount,0.05267681,-0.6679826392703031,2001,Sierra Nevada
dead_fuel_moisture_100hr,0.05689981,-0.04626096909964175,2001,Sierra Nevada
wind_speed,0.058137354,0.7596275145580604,2001,Sierra Nevada
veg_group_Grassland,0.064238034,-0.944122787218839,2001,Sierra Nevada
max_relative_humidity,0.06905085,0.5222697051715466,2001,Sierra Nevada
min_relative_humidity,0.08336674,-0.4975465516677317,2001,Sierra Nevada
surface_downwelling_shortwave_flux_in_air,0.09805875,0.5979147530586062,2001,Sierra Nevada
specific_humidity,0.11360134,-0.7713637649199409,2001,Sierra Nevada
slope_max,0.13026007,0.3390263173783145,2001,Sierra Nevada
LAI,0.18115725,0.8095326534810037,2001,Sierra Nevada
line_density_km_per_cell,0.19180563,0.7455492842761875,2001,Sierra Nevada
dead_fuel_moisture_1000hr,0.28170103,-0.7062498220812808,2001,Sierra Nevada
max_air_temperature,0.53723913,0.9598921406702555,2001,Sierra Nevada
road_density_km_km2,0.5871237,0.7236179874578056,2001,Sierra Nevada
wind_direction_category_SE,0.011231169,-0.9065744780890406,2001,South Coast
wind_direction_category_S,0.01190062,0.7153253152714654,2001,South Coast
wind_direction_category_NE,0.013714242,0.7707834109742691,2001,South Coast
veg_group_Conifer Alpine,0.016268386,,2001,South Coast
