feature,mean_abs_shap,corr,year,area,season
veg_group_Grassland,0.042869493,-0.9538113069567812,2001,North Coast,summer
dead_fuel_moisture_100hr,0.04405639,0.313816419113103,2001,North Coast,summer
veg_group_Shrub,0.052435737,0.9320254153391715,2001,North Coast,summer
veg_group_Conifer Alpine,0.06980059,0.849598387695639,2001,North Coast,summer
min_relative_humidity,0.072371945,-0.6709373164497131,2001,North Coast,summer
specific_humidity,0.079658516,-0.5929964524710937,2001,North Coast,summer
max_relative_humidity,0.08283334,0.7435927500459998,2001,North Coast,summer
wind_speed,0.08636012,0.5818852488235385,2001,North Coast,summer
surface_downwelling_shortwave_flux_in_air,0.11762064,0.6393709054709155,2001,North Coast,summer
LAI,0.1282483,0.5333433852008667,2001,North Coast,summer
dead_fuel_moisture_1000hr,0.17106941,-0.8213343501734042,2001,North Coast,summer
slope_max,0.27439326,0.32351538238120237,2001,North Coast,summer
line_density_km_per_cell,0.33560625,0.2199354638196437,2001,North Coast,summer
max_air_temperature,0.67210203,0.8664532041304498,2001,North Coast,summer
road_density_km_km2,0.70435387,0.5373856680557649,2001,North Coast,summer
veg_group_Shrub,0.062451247,0.9441121313788378,2001,North Coast,winter
surface_downwelling_shortwave_flux_in_air,0.07400723,0.09358347767209636,2001,North Coast,winter
dead_fuel_moisture_100hr,0.09052418,0.20983637228567986,2001,North Coast,winter
precipitation_amount,0.097599074,-0.8990045296188945,2001,North Coast,winter
specific_humidity,0.108904414,-0.8573143721634235,2001,North Coast,winter
veg_group_Conifer Alpine,0.11367424,0.8546793699644185,2001,North Coast,winter
wind_speed,0.12304604,0.8547714786118265,2001,North Coast,winter
min_relative_humidity,0.16475634,-0.7545823169342823,2001,North Coast,winter
max_relative_humidity,0.16721055,0.7980740200689673,2001,North Coast,winter
dead_fuel_moisture_1000hr,0.17734021,-0.6126759757086709,2001,North Coast,winter
slope_max,0.29778665,0.19836419992896887,2001,North Coast,winter
LAI,0.3236119,0.31144849204406344,2001,North Coast,winter
line_density_km_per_cell,0.3564868,0.06050096400729135,2001,North Coast,winter
max_air_temperature,0.5867357,0.9461892996967942,2001,North Coast,winter
road_density_km_km2,0.71730894,0.36767049694885634,2001,North Coast,winter
veg_group_Chaparral,0.0451299,0.8271725538403836,2001,Central Coast,summer
wind_direction_category_SW,0.04719209,0.901987100423686,2001,Central Coast,summer
min_air_temperature,0.047735095,-0.03972905351151398,2001,Central Coast,summer
dead_fuel_moisture_100hr,0.053682335,0.056259624110855166,2001,Central Coast,summer
min_relative_humidity,0.060371164,-0.3223255550935795,2001,Central Coast,summer
specific_humidity,0.06111274,-0.5275027415756877,2001,Central Coast,summer
max_relative_humidity,0.06674039,0.6760532086981592,2001,Central Coast,summer
veg_group_Shrub,0.081629075,0.6672783330722348,2001,Central Coast,summer
surface_downwelling_shortwave_flux_in_air,0.16022179,0.6882803010857762,2001,Central Coast,summer
LAI,0.17220531,0.5890873676694214,2001,Central Coast,summer
slope_max,0.18659516,-0.434359981169323,2001,Central Coast,summer
dead_fuel_moisture_1000hr,0.22074105,-0.1271228098873838,2001,Central Coast,summer
line_density_km_per_cell,0.26110458,0.7928151758568139,2001,Central Coast,summer
road_density_km_km2,0.5999062,0.6186961878317798,2001,Central Coast,summer
max_air_temperature,0.84981835,0.8927528183851001,2001,Central Coast,summer
min_air_temperature,0.04874073,0.5289732633581854,2001,Central Coast,winter
max_relative_humidity,0.056072664,0.604505513920173,2001,Central Coast,winter
precipitation_amount,0.062687986,-0.7732355579437236,2001,Central Coast,winter
veg_group_Conifer Alpine,0.06463531,0.9178918194908788,2001,Central Coast,winter
dead_fuel_moisture_100hr,0.0728265,0.40150709256610706,2001,Central Coast,winter
min_relative_humidity,0.09154846,-0.7693065807077671,2001,Central Coast,winter
surface_downwelling_shortwave_flux_in_air,0.09258333,-0.09759131367732511,2001,Central Coast,winter
wind_speed,0.10525,0.7833103261284949,2001,Central Coast,winter
LAI,0.12593913,0.6811678176629773,2001,Central Coast,winter
slope_max,0.16015552,-0.626445879988097,2001,Central Coast,winter
specific_humidity,0.16442604,-0.829000891817601,2001,Central Coast,winter
dead_fuel_moisture_1000hr,0.19685769,-0.854931786955828,2001,Central Coast,winter
line_density_km_per_cell,0.19797057,0.7605127916859798,2001,Central Coast,winter
max_air_temperature,0.48098126,0.9572536367954276,2001,Central Coast,winter
road_density_km_km2,0.54669803,0.4892410615158679,2001,Central Coast,winter
wind_direction_category_SW,0.04112563,0.9188560034008076,2001,North Interior,summer
max_relative_humidity,0.043656185,0.37950861183077594,2001,North Interior,summer
dead_fuel_moisture_100hr,0.052258268,-0.157514090376408,2001,North Interior,summer
min_relative_humidity,0.058194693,0.11622008456783214,2001,North Interior,summer
min_air_temperature,0.060798846,0.7045361653693909,2001,North Interior,summer
veg_group_Grassland,0.07262149,-0.9432664964327807,2001,North Interior,summer
specific_humidity,0.079690345,-0.7701244919176055,2001,North Interior,summer
veg_group_Desert,0.08963098,-0.94584048794298,2001,North Interior,summer
surface_downwelling_shortwave_flux_in_air,0.1023237,0.7019764081112291,2001,North Interior,summer
slope_max,0.109896265,-0.09879331114752037,2001,North Interior,summer
LAI,0.16582501,0.8247778768005438,2001,North Interior,summer
line_density_km_per_cell,0.21569885,0.9101882375696002,2001,North Interior,summer
dead_fuel_moisture_1000hr,0.22696944,0.024663167864775248,2001,North Interior,summer
max_air_temperature,0.5460295,0.9429359591685761,2001,North Interior,summer
road_density_km_km2,0.5811396,0.7875935685726735,2001,North Interior,summer
max_relative_humidity,0.05746843,0.8981493437527783,2001,North Interior,winter
dead_fuel_moisture_100hr,0.061512083,0.15995170328142064,2001,North Interior,winter
precipitation_amount,0.06817689,-0.23622663674604835,2001,North Interior,winter
wind_speed,0.090805136,0.7065796328597089,2001,North Interior,winter
min_air_temperature,0.0917284,0.2676195300967878,2001,North Interior,winter
slope_max,0.10716802,-0.39581681106067323,2001,North Interior,winter
veg_group_Desert,0.12545238,-0.9833282933337268,2001,North Interior,winter
surface_downwelling_shortwave_flux_in_air,0.13263997,-0.8203932415576048,2001,North Interior,winter
min_relative_humidity,0.14446948,-0.8310509272078948,2001,North Interior,winter
specific_humidity,0.15973158,-0.7629142598211704,2001,North Interior,winter
dead_fuel_moisture_1000hr,0.17796539,-0.8581665889091461,2001,North Interior,winter
LAI,0.20143384,0.926272574011389,2001,North Interior,winter
line_density_km_per_cell,0.2588841,0.8631740792616626,2001,North Interior,winter
road_density_km_km2,0.5286909,0.7775103371531245,2001,North Interior,winter
max_air_temperature,0.9180296,0.9784321607469072,2001,North Interior,winter
min_air_temperature,0.040110696,0.5100603034430333,2001,Sierra Nevada,summer
wind_direction_category_S,0.042022295,0.9258072088322188,2001,Sierra Nevada,summer
wind_direction_category_SW,0.046848413,0.9028648212610094,2001,Sierra Nevada,summer
veg_group_Grassland,0.05131714,-0.9305668617925983,2001,Sierra Nevada,summer
max_relative_humidity,0.052446622,0.2851606822058299,2001,Sierra Nevada,summer
specific_humidity,0.07131866,-0.7163184520081388,2001,Sierra Nevada,summer
min_relative_humidity,0.07436778,-0.21350172139775833,2001,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.07780598,-0.24362738960333843,2001,Sierra Nevada,summer
surface_downwelling_shortwave_flux_in_air,0.09352388,0.6940176151664289,2001,Sierra Nevada,summer
slope_max,0.12118274,0.3471551696728604,2001,Sierra Nevada,summer
LAI,0.16833311,0.8612731136337791,2001,Sierra Nevada,summer
line_density_km_per_cell,0.17169783,0.8176710376901943,2001,Sierra Nevada,summer
dead_fuel_moisture_1000hr,0.25706747,0.47719588211029623,2001,Sierra Nevada,summer
max_air_temperature,0.521134,0.9333203509736008,2001,Sierra Nevada,summer
road_density_km_km2,0.60532594,0.7482071985945888,2001,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.05685568,-0.1356293898972474,2001,Sierra Nevada,winter
