feature,mean_abs_shap,corr,year,area,season
wind_direction_category_S,0.026149578,0.827645111193599,2001,North Coast,summer
min_air_temperature,0.038520098,0.38359781578994057,2001,North Coast,summer
precipitation_amount,0.04478717,-0.708602499010717,2001,North Coast,summer
dead_fuel_moisture_100hr,0.047472555,0.2525576129606625,2001,North Coast,summer
min_relative_humidity,0.062507935,-0.36315678849807687,2001,North Coast,summer
wind_speed,0.07261844,0.47625353314537977,2001,North Coast,summer
max_relative_humidity,0.08487599,0.8102365597304413,2001,North Coast,summer
specific_humidity,0.089311145,-0.6976686920014024,2001,North Coast,summer
surface_downwelling_shortwave_flux_in_air,0.11716817,0.6214708311334574,2001,North Coast,summer
dead_fuel_moisture_1000hr,0.17209311,-0.8256816855403968,2001,North Coast,summer
LAI,0.17585282,0.6189871344562315,2001,North Coast,summer
slope_max,0.27644667,0.3115608524912913,2001,North Coast,summer
line_density_km_per_cell,0.36197394,0.19672896291652303,2001,North Coast,summer
max_air_temperature,0.6931067,0.8965937800397974,2001,North Coast,summer
road_density_km_km2,0.76424855,0.5331057382022631,2001,North Coast,summer
wind_direction_category_N,0.052469004,0.7757984964644405,2001,North Coast,winter
min_air_temperature,0.06161878,0.6786019289604581,2001,North Coast,winter
surface_downwelling_shortwave_flux_in_air,0.08722023,-0.3364391220785038,2001,North Coast,winter
dead_fuel_moisture_100hr,0.09086346,0.04857775668258151,2001,North Coast,winter
precipitation_amount,0.09934049,-0.9201432830358691,2001,North Coast,winter
min_relative_humidity,0.118770234,-0.26348242348434303,2001,North Coast,winter
specific_humidity,0.11959093,-0.8269294346850236,2001,North Coast,winter
wind_speed,0.12041557,0.7891089731525687,2001,North Coast,winter
dead_fuel_moisture_1000hr,0.15191653,-0.6416778572251981,2001,North Coast,winter
max_relative_humidity,0.17516091,0.8138596784154328,2001,North Coast,winter
slope_max,0.29745448,0.21266919795456715,2001,North Coast,winter
line_density_km_per_cell,0.33180305,0.14571874280028246,2001,North Coast,winter
LAI,0.37350124,0.6222831283844712,2001,North Coast,winter
max_air_temperature,0.58910924,0.9462696940486192,2001,North Coast,winter
road_density_km_km2,0.757385,0.3288520049811456,2001,North Coast,winter
wind_direction_category_S,0.030791244,0.8685330711176993,2001,Central Coast,summer
wind_speed,0.03587728,0.44408392983688477,2001,Central Coast,summer
min_relative_humidity,0.05538357,-0.04959502910702651,2001,Central Coast,summer
wind_direction_category_SW,0.05995214,0.9022586628503467,2001,Central Coast,summer
min_air_temperature,0.063378856,0.3603568252578465,2001,Central Coast,summer
specific_humidity,0.07236431,-0.6737342476760897,2001,Central Coast,summer
dead_fuel_moisture_100hr,0.07298733,-0.20744053353902145,2001,Central Coast,summer
max_relative_humidity,0.07799214,0.7887503386621328,2001,Central Coast,summer
slope_max,0.13742317,-0.2853552070957369,2001,Central Coast,summer
surface_downwelling_shortwave_flux_in_air,0.15940104,0.6547633172338692,2001,Central Coast,summer
LAI,0.19925426,0.697400907634936,2001,Central Coast,summer
dead_fuel_moisture_1000hr,0.20499066,-0.1093142195607334,2001,Central Coast,summer
line_density_km_per_cell,0.26199144,0.7915948688709424,2001,Central Coast,summer
road_density_km_km2,0.60336155,0.6110065569644454,2001,Central Coast,summer
max_air_temperature,0.8697183,0.9104246219066607,2001,Central Coast,summer
wind_direction_category_SW,0.030034374,0.9084278264254805,2001,Central Coast,winter
precipitation_amount,0.06520571,-0.7836831617426457,2001,Central Coast,winter
max_relative_humidity,0.069093294,0.6717556404967523,2001,Central Coast,winter
min_air_temperature,0.07117326,0.6432226601003387,2001,Central Coast,winter
min_relative_humidity,0.07201938,-0.6119723812667199,2001,Central Coast,winter
dead_fuel_moisture_100hr,0.07648559,-0.12953973650915024,2001,Central Coast,winter
wind_speed,0.09318041,0.5869576945662462,2001,Central Coast,winter
surface_downwelling_shortwave_flux_in_air,0.10000713,-0.31610108386770314,2001,Central Coast,winter
slope_max,0.11449146,-0.5518948100840759,2001,Central Coast,winter
LAI,0.14573984,0.755188665548833,2001,Central Coast,winter
specific_humidity,0.17501375,-0.8363619173004371,2001,Central Coast,winter
line_density_km_per_cell,0.1853259,0.7353935964485944,2001,Central Coast,winter
dead_fuel_moisture_1000hr,0.20280331,-0.8450390002224546,2001,Central Coast,winter
max_air_temperature,0.4757675,0.949100008335689,2001,Central Coast,winter
road_density_km_km2,0.547787,0.48706727345090245,2001,Central Coast,winter
wind_direction_category_S,0.029930243,0.8925057111154425,2001,North Interior,summer
precipitation_amount,0.03720577,-0.8821360286289823,2001,North Interior,summer
max_relative_humidity,0.052087165,0.675028868607824,2001,North Interior,summer
wind_direction_category_SW,0.054022897,0.9318247234502436,2001,North Interior,summer
dead_fuel_moisture_100hr,0.05453329,-0.13406028930192426,2001,North Interior,summer
min_relative_humidity,0.056668006,0.489275224838933,2001,North Interior,summer
specific_humidity,0.08868148,-0.7974829297340227,2001,North Interior,summer
surface_downwelling_shortwave_flux_in_air,0.09321876,0.7794109671303254,2001,North Interior,summer
min_air_temperature,0.09540482,0.7387447995103825,2001,North Interior,summer
slope_max,0.0987267,0.10733191997697725,2001,North Interior,summer
line_density_km_per_cell,0.20061812,0.9283335267295325,2001,North Interior,summer
LAI,0.20819452,0.8338521194652885,2001,North Interior,summer
dead_fuel_moisture_1000hr,0.24362077,-0.009880033963397811,2001,North Interior,summer
max_air_temperature,0.5441681,0.9582583080101803,2001,North Interior,summer
road_density_km_km2,0.5874405,0.7898019338388202,2001,North Interior,summer
wind_direction_category_S,0.038574293,0.9843109225449349,2001,North Interior,winter
dead_fuel_moisture_100hr,0.04367466,0.39793245822635764,2001,North Interior,winter
max_relative_humidity,0.0638523,0.612750358708426,2001,North Interior,winter
precipitation_amount,0.07151601,-0.6854446360851941,2001,North Interior,winter
wind_speed,0.08256774,0.7337453018923576,2001,North Interior,winter
min_relative_humidity,0.08447317,-0.6787670649171703,2001,North Interior,winter
surface_downwelling_shortwave_flux_in_air,0.10964682,-0.8297301365955329,2001,North Interior,winter
min_air_temperature,0.12397256,-0.2189967832575975,2001,North Interior,winter
slope_max,0.14070597,-0.6909010889659348,2001,North Interior,winter
specific_humidity,0.16484576,-0.8824972653394276,2001,North Interior,winter
LAI,0.1816699,0.8555880554873223,2001,North Interior,winter
dead_fuel_moisture_1000hr,0.18539648,-0.8212129030169907,2001,North Interior,winter
line_density_km_per_cell,0.23640792,0.8519193557369117,2001,North Interior,winter
road_density_km_km2,0.5276418,0.763683152782835,2001,North Interior,winter
max_air_temperature,1.0032543,0.9726165703236286,2001,North Interior,winter
wind_speed,0.03247639,0.7645128109998459,2001,Sierra Nevada,summer
wind_direction_category_S,0.047495283,0.9352716105215115,2001,Sierra Nevada,summer
wind_direction_category_SW,0.059774924,0.9029506404673303,2001,Sierra Nevada,summer
min_air_temperature,0.06359508,0.6581424588296135,2001,Sierra Nevada,summer
min_relative_humidity,0.06840627,0.2093907768658073,2001,Sierra Nevada,summer
max_relative_humidity,0.076381505,0.4837163933025303,2001,Sierra Nevada,summer
specific_humidity,0.076399624,-0.7468299048407684,2001,Sierra Nevada,summer
dead_fuel_moisture_100hr,0.094105534,-0.28492159136399564,2001,Sierra Nevada,summer
surface_downwelling_shortwave_flux_in_air,0.10220425,0.6949278490600767,2001,Sierra Nevada,summer
slope_max,0.137789,0.45710361459961174,2001,Sierra Nevada,summer
line_density_km_per_cell,0.17706528,0.8369098562960823,2001,Sierra Nevada,summer
LAI,0.18749109,0.837427565701311,2001,Sierra Nevada,summer
dead_fuel_moisture_1000hr,0.268806,0.38499730130003923,2001,Sierra Nevada,summer
max_air_temperature,0.54353034,0.9397485136375047,2001,Sierra Nevada,summer
road_density_km_km2,0.60805565,0.7581418498864749,2001,Sierra Nevada,summer
SWE,0.043380402,-0.7944661145631116,2001,Sierra Nevada,winter
dead_fuel_moisture_100hr,0.070223935,-0.17099536785986647,2001,Sierra Nevada,winter
max_relative_humidity,0.07285357,0.6254255857714848,2001,Sierra Nevada,winter
min_relative_humidity,0.07388182,-0.4435112206216599,2001,Sierra Nevada,winter
precipitation_amount,0.08261645,-0.8958685379083761,2001,Sierra Nevada,winter
wind_speed,0.085292295,0.7823920267923227,2001,Sierra Nevada,winter
surface_downwelling_shortwave_flux_in_air,0.09450738,0.043572301382136795,2001,Sierra Nevada,winter
min_air_temperature,0.11100561,0.3378850854287979,2001,Sierra Nevada,winter
slope_max,0.11991123,0.4222235900516072,2001,Sierra Nevada,winter
line_density_km_per_cell,0.18104814,0.7891436334019896,2001,Sierra Nevada,winter
specific_humidity,0.18876411,-0.7385756610694945,2001,Sierra Nevada,winter
LAI,0.19047825,0.6782344973854467,2001,Sierra Nevada,winter
dead_fuel_moisture_1000hr,0.21382268,-0.6483997047021612,2001,Sierra Nevada,winter
road_density_km_km2,0.57570326,0.7078258512555238,2001,Sierra Nevada,winter
max_air_temperature,0.6389284,0.948376650637355,2001,Sierra Nevada,winter
precipitation_amount,0.030224806,-0.6373371823469607,2001,South Coast,summer
wind_speed,0.03464775,0.6782488195914199,2001,South Coast,summer
min_air_temperature,0.051561356,0.2259223001763508,2001,South Coast,summer
dead_fuel_moisture_100hr,0.0700885,-0.25750922379911584,2001,South Coast,summer
min_relative_humidity,0.07212717,-0.30474526935629076,2001,South Coast,summer
specific_humidity,0.080523975,-0.6239062836175814,2001,South Coast,summer
max_relative_humidity,0.08639943,0.7533961566240752,2001,South Coast,summer
surface_downwelling_shortwave_flux_in_air,0.13250004,0.7622452015945609,2001,South Coast,summer
wind_direction_category_SW,0.13338959,0.824535420425484,2001,South Coast,summer
slope_max,0.16059186,-0.030067851652467094,2001,South Coast,summer
dead_fuel_moisture_1000hr,0.18593492,0.03017075156784115,2001,South Coast,summer
LAI,0.27526408,0.5668417983267299,2001,South Coast,summer
line_density_km_per_cell,0.36578053,0.577076580184456,2001,South Coast,summer
