,LONGITUDE,LATITUDE,DISCOVERY_DATE,CONT_DATE,max_FIRE_SIZE,min_FIRE_SIZE,FOD_ID_cnt,diff_FIRE_SIZE
0,-123.943617,40.476117,10/28/2015,10/28/2015,0.01,0.01,18,0.0
1,-120.850714,38.641597,7/16/2006,7/17/2006,13.8,0.1,14,13.700000000000001
2,-121.607969,39.806769,11/28/2003,11/28/2003,0.1,0.1,11,0.0
3,-123.16388888,39.67805555,10/28/2005,10/28/2005,0.1,0.1,11,0.0
4,-120.71,38.29305555,5/17/2007,missing date,7.0,1.0,9,6.0
5,-122.253431,38.4849,6/22/2003,6/22/2003,0.3,0.2,8,0.09999999999999998
6,-116.797289,32.564939,7/25/2001,7/25/2001,0.1,0.1,8,0.0
7,-120.80694444,38.22888888,10/21/2004,10/21/2004,3.0,0.1,8,2.9
8,-119.812031,37.490695,9/27/2016,missing date,1.1,1.1,8,0.0
9,-121.39888888,39.215,8/13/2006,8/13/2006,20.0,0.1,7,19.9
10,-122.075711,40.308811,10/22/2002,10/22/2002,0.1,0.1,7,0.0
11,-122.361433,40.338577,5/11/2012,missing date,1.0,0.14,7,0.86
12,-120.75388888,36.84305555,6/13/2005,6/13/2005,10.0,10.0,7,0.0
13,-123.43888888,39.58611111,9/15/2005,9/15/2005,5.0,0.3,7,4.7
14,-121.588624,39.835829,10/17/2017,10/17/2017,0.5,0.01,6,0.49
15,-122.97611111,38.71194444,10/28/2006,missing date,5.0,0.3,6,4.7
16,-124.0108,41.5322,7/8/2015,7/8/2015,2.1,0.1,6,2.0
17,-122.708144,38.303796,10/25/2010,missing date,0.25,0.01,6,0.24
18,-123.25805555,39.82388888,9/30/2006,9/30/2006,1.0,0.1,6,0.9
19,-121.666639,39.821269,7/20/2004,7/20/2004,0.1,0.1,6,0.0
20,-119.163717,36.562886,5/21/2007,5/21/2007,1.0,1.0,6,0.0
21,-119.304,37.097359,7/30/2016,missing date,0.28,0.03,6,0.25
22,-123.773733,41.25475,7/14/2016,7/14/2016,0.25,0.03,6,0.22
23,-120.35083333,38.86833333,7/26/2009,7/26/2009,0.1,0.1,6,0.0
24,-120.9,38.15611111,10/13/2002,10/13/2002,0.1,0.1,6,0.0
25,-121.16805555,37.45694444,5/18/2002,5/19/2002,147.0,147.0,6,0.0
26,-121.24194444,37.42388888,5/10/2007,missing date,10.0,10.0,6,0.0
27,-121.351517,39.506,6/22/2009,missing date,2.0,0.25,6,1.75
28,-121.035,38.79111111,9/28/2005,9/28/2005,1.0,0.1,5,0.9
29,-121.34176,39.328548,7/31/2009,missing date,6.8,0.1,5,6.7
30,-120.465137,37.632462,6/13/2010,6/13/2010,1.0,0.1,5,0.9
31,-121.96611111,39.76055556,9/4/2002,9/4/2002,0.1,0.1,5,0.0
32,-122.99888888,38.75805555,7/10/2004,7/11/2004,4.0,0.1,5,3.9
33,-123.57905,39.453983,7/21/2011,missing date,1.0,1.0,5,0.0
34,-119.045,35.94305555,7/15/2003,7/15/2003,0.5,0.1,5,0.4
35,-119.411486,37.047503,9/7/2015,missing date,0.5,0.01,5,0.49
36,-121.589039,39.821111,7/10/2002,7/10/2002,0.1,0.1,5,0.0
37,-121.03194444,40.34388888,6/23/2008,missing date,0.1,0.1,5,0.0
38,-121.7314,39.705483,9/11/2012,missing date,0.45,0.02,5,0.43
39,-122.402555,40.013681,6/1/2013,missing date,1.0,0.25,5,0.75
40,-122.123209,39.906799,10/3/2014,10/3/2014,0.3,0.1,5,0.19999999999999998
41,-121.75388888,39.37,9/1/2004,9/1/2004,0.1,0.1,5,0.0
42,-122.17388888,39.90611111,6/18/2007,missing date,0.2,0.1,5,0.1
43,-120.36805555,37.955,7/24/2004,7/24/2004,0.1,0.1,5,0.0
44,-116.8342,32.6001,8/2/2001,8/2/2001,0.1,0.1,5,0.0
45,-121.92388888,41.95305555,6/11/2008,missing date,0.1,0.1,5,0.0
46,-117.112019,33.409369,1/8/2001,1/8/2001,0.1,0.1,5,0.0
47,-120.78611111,37.835,6/6/2005,6/6/2005,19.5,0.1,5,19.4
48,-116.8253,32.5631,7/12/2001,7/12/2001,0.1,0.1,5,0.0
49,-120.50805555,37.84305555,9/4/2006,missing date,4.0,0.5,5,3.5
50,-118.97305555,36.10194444,5/13/2002,5/13/2002,4.0,0.4,4,3.6
51,-122.46194444,38.16388888,6/23/2002,6/23/2002,0.1,0.1,4,0.0
52,-123.6512,41.0832,9/21/2002,10/11/2002,177.0,1.0,4,176.0
53,-123.233855,39.365926,10/7/2015,10/7/2015,0.01,0.01,4,0.0
54,-118.78358,36.03053,10/21/2007,10/21/2007,0.5,0.1,4,0.4
55,-122.2002,38.1695,3/13/2013,3/13/2013,1.5,0.3,4,1.2
56,-117.12694444,33.05805555,10/3/2001,10/3/2001,0.1,0.1,4,0.0
57,-122.713715,38.321327,8/17/2012,missing date,1.0,1.0,4,0.0
58,-119.28802,36.731288,8/27/2017,missing date,53.8,0.1,4,53.699999999999996
59,-116.796969,32.575961,7/25/2001,7/25/2001,0.1,0.1,4,0.0
60,-120.567719,38.069019,9/30/2001,9/30/2001,3.0,0.1,4,2.9
61,-119.661768,37.336271,5/28/2014,5/28/2014,0.1,0.1,4,0.0
62,-123.0,41.0,8/11/2019,8/12/2019,0.1,0.1,4,0.0
63,-123.61277778,40.94805556,6/24/2001,6/24/2001,0.1,0.1,4,0.0
64,-120.275,38.05694444,7/20/2004,7/20/2004,0.1,0.1,4,0.0
65,-122.60388888,38.61388888,7/7/2003,7/7/2003,0.1,0.1,4,0.0
